,Name,Rush Yds,Rush TD,Rec Yds,Rec TD,Fantasy Points
21,"brown, antonio",0,0,1516,14,235.60000000000002
152,"smith, steve",0,0,1598,10,219.80000000000004
125,"nelson, jordy",0,0,1270,14,211.00000000000003
54,"evans, mike",0,0,1321,12,204.1
11,"beckham, odell",0,0,1395,10,199.50000000000003
1,"adams, davante",0,0,1198,13,197.79999999999998
95,"jones, julio",0,0,1476,7,189.60000000000002
9,"baldwin, doug",1,0,1312,9,185.3
79,"hilton, ty",0,0,1448,6,180.8
163,"thomas, michael",0,0,1137,9,167.7
37,"cooks, brandin",0,0,1173,8,165.3
25,"bryant, dez",1,0,928,10,152.9
41,"crabtree, michael",0,0,1036,8,151.6
114,"matthews, rishard",0,0,945,9,148.5
177,"williams, tyrell",0,0,1059,7,147.9
102,"landry, jarvis",0,0,1238,4,147.79999999999998
38,"cooper, amari",0,0,1163,5,146.3
51,"edelman, julian",0,0,1243,3,142.29999999999998
83,"hopkins, deandre",0,0,1086,5,138.6
55,"fitzgerald, larry",0,0,1023,6,138.3
162,"thomas, demaryius",0,0,1083,5,138.29999999999998
13,"benjamin, kelvin",0,0,941,7,136.1
155,"stills, kenny",0,0,808,9,134.79999999999998
160,"tate, golden",0,0,1102,4,134.2
144,"sanders, emmanuel",0,0,1032,5,133.2
20,"britt, kenny",0,0,1002,5,130.20000000000002
42,"crowder, jamison",1,0,847,7,126.80000000000001
161,"thielen, adam",0,0,967,5,126.7
165,"wallace, mike",2,0,1017,4,125.9
96,"jones, marvin",0,0,1011,4,125.09999999999998
133,"pryor, terrelle",2,0,1007,4,124.89999999999999
89,"jackson, desean",0,0,1005,4,124.50000000000001
148,"shepard, sterling",1,0,746,8,122.69999999999997
101,"lafell, brandon",1,0,862,6,122.3
61,"garcon, pierre",0,0,1041,3,122.10000000000001
33,"cobb, randall",0,0,788,7,120.8
67,"green, aj",0,0,964,4,120.39999999999999
10,"beasley, cole",0,0,878,5,117.79999999999998
154,"snead, willie",1,0,895,4,113.6
117,"meredith, cameron",1,0,888,4,112.9
52,"enunwa, quincy",0,0,857,4,109.70000000000002
17,"boldin, anquan",0,0,608,8,108.80000000000001
47,"diggs, stefon",0,0,903,3,108.30000000000001
